seq3	FB|FBgn0001230	70.77	633	176	4	10	1881	3	635	0.0	890
seq3	FB|FBgn0013276	68.59	640	185	4	10	1881	3	642	0.0	858
seq3	FB|FBgn0013275	68.59	640	185	4	10	1881	3	642	0.0	858
seq3	UNIPROTKB|B5B0I3	68.92	637	184	6	10	1881	8	643	0.0	858
seq3	UNIPROTKB|Q27965	70.94	609	170	4	4	1812	4	611	0.0	856
seq3	FB|FBgn0013279	68.08	639	189	4	10	1881	3	641	0.0	855
seq3	FB|FBgn0013278	68.08	639	189	4	10	1881	3	641	0.0	855
seq3	FB|FBgn0013277	68.08	639	189	4	10	1881	3	641	0.0	855
seq3	UNIPROTKB|Q9GSU4	68.02	641	188	4	10	1881	3	643	0.0	855
seq3	UNIPROTKB|Q6S4N2	69.17	639	183	5	4	1881	4	641	0.0	855
seq4	UNIPROTKB|Q4G005	72.27	761	192	8	109	2379	36	781	0.0	1151
seq4	RGD|1307139	72.27	761	192	8	109	2379	36	781	0.0	1151
seq4	MGI|MGI:95414	71.92	762	194	8	109	2379	36	782	0.0	1149
seq4	UNIPROTKB|F1RXZ5	72.01	761	194	8	109	2379	36	781	0.0	1149
seq4	UNIPROTKB|Q60HG1	71.75	761	196	8	109	2379	36	781	0.0	1145
seq4	UNIPROTKB|Q1RMT1	71.88	761	195	8	109	2379	36	781	0.0	1145
seq4	UNIPROTKB|E2RN68	71.75	761	196	8	109	2379	33	778	0.0	1145
seq4	UNIPROTKB|Q5RA62	71.62	761	197	8	109	2379	36	781	0.0	1143
seq4	UNIPROTKB|P19447	71.62	761	197	8	109	2379	36	781	0.0	1143
seq4	UNIPROTKB|F1NZ23	71.47	757	196	7	109	2364	33	774	0.0	1117
seq5	UNIPROTKB|F6TMN3	99.27	409	3	0	1	1227	1	409	0.0	843
seq5	MGI|MGI:1349414	68.72	406	126	1	1	1218	1	405	0.0	578
seq5	UNIPROTKB|F6TMH1	68.47	406	127	1	1	1218	5	409	0.0	577
seq5	UNIPROTKB|M3XBM5	68.47	406	127	1	1	1218	1	405	0.0	577
seq5	UNIPROTKB|Q5R648	68.23	406	128	1	1	1218	1	405	0.0	577
seq5	UNIPROTKB|Q4R5E6	68.47	406	127	1	1	1218	1	405	0.0	577
seq5	UNIPROTKB|H2QPT3	68.47	406	127	1	1	1218	1	405	0.0	577
seq5	UNIPROTKB|F6XE81	68.47	406	127	1	1	1218	1	405	0.0	577
seq5	UNIPROTKB|A7Y521	68.47	406	127	1	1	1218	1	405	0.0	577
seq5	UNIPROTKB|Q9BT78	68.47	406	127	1	1	1218	1	405	0.0	577
seq6	UNIPROTKB|O13046	48.82	424	212	2	1273	2544	432	850	2e-134	439
