IDENTIFIER	GSM1052615	GSM1052616	GSM1052617	GSM1052618	GSM1052619	GSM1052620
control	3.78895	3.92325	3.9169	4.24802	4.13849	3.32713
control	11.1959	11.1432	11.1086	11.2651	11.2659	11.2718
control	13.0406	13.0495	13.121	12.8778	13.0047	12.9686
control	9.50103	10.0981	9.74243	9.24606	9.86443	9.54197
control	3.96263	3.73972	3.78551	3.88669	4.18335	3.77763
control	5.28438	5.60315	5.47799	5.24307	5.26126	4.93246
control	8.63373	8.10855	8.44957	7.62666	7.49356	7.93826
control	7.75492	7.81543	8.30346	8.16668	8.28082	7.94909
control	4.33706	5.42816	6.58892	7.41726	7.41586	7.13028
control	3.75987	3.6273	3.78507	3.84835	3.99774	3.5967
control	5.31808	5.17126	5.46247	5.45975	5.32112	5.72201
control	4.86036	4.41762	4.94332	5.01912	5.05374	4.45313
control	12.9984	13.0963	12.8246	13.0143	12.8916	13.0457
control	7.95142	8.54284	8.1507	7.53687	7.96822	6.95491
control	6.99959	7.04451	7.33361	6.54349	6.48098	5.99401
control	6.45942	6.66552	6.68195	6.20416	7.00543	5.99107
control	10.8812	11.0104	10.895	10.8055	10.7215	10.5789
control	6.59977	7.06875	6.67983	6.25322	6.74727	6.40552
control	6.68389	6.5225	6.72665	6.34643	6.66501	6.36815
control	7.67702	8.04626	7.20247	7.03789	7.28155	7.22839
control	5.88802	5.97092	6.74204	6.48786	6.67122	6.62528
control	8.95194	9.39303	9.01691	9.12392	9.08913	9.34334
control	7.87888	8.16802	7.87767	7.80075	8.23112	7.6612
control	7.8982	7.93621	8.61154	7.90824	7.7279	8.11358
control	8.10988	8.61599	8.55193	8.0122	7.58666	7.28206
control	7.50411	6.72795	7.49639	7.11888	6.94265	6.91669
control	13.0454	13.0185	13.1446	12.9448	12.9299	13.0119
control	7.45383	7.88615	7.10061	7.77993	7.6598	7.4473
control	7.14206	7.03449	7.07706	6.78438	7.17256	6.39969
control	12.9659	12.8231	12.9443	12.7283	12.6492	11.9672
control	7.78996	7.78577	8.03739	7.69959	8.37628	7.86415
control	3.05869	3.44776	4.29979	3.12372	4.70571	3.00591
control	11.1693	11.1807	11.2829	11.149	10.9373	11.1333
control	4.53874	4.46195	4.65992	3.73873	4.80925	4.3225
control	10.6611	10.5078	10.7052	10.6656	10.6477	10.594
control	8.75828	9.46662	9.59091	9.25157	9.55281	9.12551
control	6.79492	6.94549	7.01219	6.89304	6.89841	6.51153
control	4.2043	3.82125	4.48582	5.13121	4.94316	4.56279
control	12.1109	12.0489	12.0615	11.5435	11.4807	11.3862
control	10.0837	10.1197	10.1992	10.4498	10.3007	9.9653
control	6.10327	6.28466	6.6361	5.87078	6.20578	5.9757
control	4.18498	4.11088	4.38245	3.58095	4.74873	3.58961
control	8.38944	8.63109	8.66397	8.56893	8.84708	8.62504
control	3.38484	3.69974	3.83535	3.9249	3.99594	3.80211
control	5.75537	6.0487	6.30475	6.16613	5.69707	5.06762
control	7.06113	6.90779	6.53579	5.78657	6.26698	6.00503
control	9.21423	9.34386	9.34681	9.20534	9.2799	9.0031
control	10.7867	10.7962	10.9505	10.8684	11.0005	10.7259
control	8.73214	7.65968	8.30311	8.43423	8.45617	7.73595
control	14.061	14.0297	14.0561	14.0903	14.2407	14.0076
control	11.4577	11.5051	11.2613	11.3949	11.23	11.5394
control	6.57149	6.85702	6.79204	6.38824	6.6056	6.67921
control	7.29091	7.40455	7.30922	6.9495	7.17256	6.83833
control	10.5221	10.4718	10.664	10.1498	10.3514	10.3695
control	6.12274	5.62106	6.35785	6.20381	5.78452	5.7772
control	7.44113	7.93515	7.74628	7.48693	7.67076	7.47739
control	5.7871	5.95067	6.02912	6.27088	6.7641	5.97247
control	6.85088	5.86306	6.19616	4.98732	6.42456	5.71794
control	10.7879	10.3071	10.4811	9.99678	10.0906	10.4845
control	10.0087	10.1164	10.1411	10.0232	10.1132	10.0477
control	7.08307	6.71702	6.78531	6.13404	6.72979	5.99405
control	8.64104	8.83187	8.75413	8.46164	7.99757	8.76214
control	4.91066	4.41223	5.27367	4.06695	4.88799	4.30435
control	8.75842	8.06442	8.71309	7.74499	8.06754	8.31559
control	12.3814	12.4456	12.3025	12.3867	12.4367	12.3993
control	6.34406	6.40815	6.61295	7.23106	6.66542	6.61063
control	10.0907	9.95323	10.0254	9.62565	9.64909	9.73449
control	9.62969	9.77766	9.82386	9.68863	9.85003	9.75653
control	14.0927	14.0388	14.0513	14.0957	14.1049	14.0325
control	6.08253	6.38538	7.36425	6.78045	6.2275	6.66434
control	7.86648	7.91627	8.23357	7.50134	7.59387	7.81012
control	12.4194	12.5049	12.4942	12.2598	12.2603	12.4948
control	5.05791	4.7839	5.92151	4.5807	4.83039	4.83883
control	11.9252	11.9781	11.9273	11.6214	11.5747	11.4151
control	9.56319	9.51426	9.3743	9.57437	9.22634	9.51475
control	7.44565	6.86775	7.2101	7.09009	6.75321	7.2733
control	3.28909	3.22642	4.04514	3.79436	4.11902	4.55526
control	7.97817	7.85027	8.1896	7.76279	7.66541	7.78217
control	11.8414	11.7803	11.785	11.3839	11.4957	11.5379
control	6.2662	6.22584	6.79959	6.03142	6.26705	6.68764
control	3.4892	3.53661	3.46225	3.5159	3.20283	3.44394
control	6.36337	7.32905	7.1677	7.3309	7.49435	6.91217
control	10.8524	11.0491	11.1677	11.0508	11.3757	10.9012
control	8.50029	8.87168	8.7204	8.92025	9.09084	8.65074
control	9.31741	9.38249	9.33988	9.77527	9.56956	9.7966
control	5.10957	5.10485	6.1552	5.0772	5.14663	4.669
control	11.0452	10.949	11.0098	10.5227	10.3774	10.3594
control	5.3113	4.72155	5.8589	5.11776	5.65895	3.81701
control	6.2177	6.16197	6.17411	5.20448	6.08784	5.91972
control	2.91388	2.97918	3.10121	2.77734	2.90441	3.06862
control	5.7937	5.4584	6.2656	6.39144	6.66855	6.32651
control	11.0938	11.114	11.1641	10.5897	10.4694	10.3344
control	6.85988	6.58759	7.31478	6.68104	7.18256	7.81606
control	12.1498	12.1519	12.2075	11.9297	12.0127	11.4907
control	10.3835	10.5425	10.539	10.4775	10.9179	10.3234
control	7.4722	7.50158	7.53995	6.86304	6.74864	6.90874
control	6.56737	6.06195	6.56357	6.49359	6.60044	5.39248
control	11.4427	11.4017	11.4648	11.5946	11.6321	11.693
control	6.36224	6.8347	6.49693	6.34062	6.41824	6.38528
control	8.33708	8.59963	8.92149	8.50989	8.93977	8.36257
control	7.97164	7.52647	7.64755	7.33602	7.56763	7.37635
control	13.628	13.5764	13.5542	13.6593	13.7346	13.7495
control	7.04197	7.32219	7.59199	7.1842	6.61159	7.02488
control	9.94226	9.76478	9.92104	9.26431	9.1603	9.25742
control	8.98517	9.34229	9.24539	8.4571	8.72882	9.171
control	8.32731	8.51989	8.58064	8.65004	9.0351	8.56647
control	8.66109	8.79008	8.30814	8.4696	8.57775	8.5726
control	5.57857	5.0085	5.56302	4.8616	4.5947	4.99181
control	5.79288	5.27317	6.08883	4.52216	5.104	4.48187
control	6.27525	5.94128	6.96575	5.8532	6.39999	5.87883
control	6.41135	6.44037	6.98264	5.87135	6.72932	6.46558
control	12.2061	12.2282	12.2604	11.9963	11.9047	11.864
control	7.51564	8.22531	7.78236	7.61983	7.80494	7.49788
control	7.90273	7.78419	7.72932	8.45769	8.24576	8.25122
control	5.00644	4.31541	5.26354	5.1617	4.78961	4.61588
control	5.53459	6.2721	6.21013	6.21644	6.00226	5.3919
control	5.38227	5.86247	5.7012	5.97603	5.53896	5.43638
control	11.3712	11.5261	11.6222	11.6988	11.9795	11.462
control	11.986	12.1006	12.11	11.9344	11.9761	11.5858
control	4.81004	3.95579	4.28397	3.99987	4.20179	3.98876
control	3.54429	3.11795	3.19059	3.44155	3.11842	3.44407
control	6.27399	6.01739	5.47318	5.74637	5.91215	5.85729
control	3.36872	3.43897	3.98151	3.84891	3.45669	3.36959
control	6.57835	7.01301	7.27663	7.08571	6.89534	6.76264
control	11.5508	11.7805	11.693	11.75	11.7111	11.585
control	4.72409	4.36597	5.23299	4.68333	5.32981	4.97806
control	10.8583	10.9368	10.8578	10.6245	10.6084	10.5816
control	5.05568	3.76267	5.11371	4.41643	4.80835	3.79203
control	7.7182	7.28938	7.64824	7.13391	7.27737	6.88103
control	4.89192	4.76746	5.06034	5.23291	4.85913	5.02455
control	6.37567	6.53796	6.60055	5.80883	6.82151	6.8072
control	8.37496	8.1958	8.72091	7.90521	8.63174	7.75824
control	5.70371	5.5987	6.09941	6.25074	5.9592	5.46764
control	2.97159	2.94477	2.96483	3.00131	2.9809	3.01971
control	8.09474	8.30335	8.13999	7.55784	7.52038	7.55719
control	7.2401	6.83747	7.32923	6.02762	6.73024	6.41051
control	12.5651	12.4893	12.5436	12.059	12.0602	11.9361
control	8.35839	8.32205	8.61521	9.08171	8.74908	8.94605
control	11.935	12.0022	11.9938	12.2266	12.2759	12.3773
control	5.26057	5.61924	5.73807	5.21975	5.45718	4.56214
control	5.11818	5.40759	5.32976	5.62128	5.2999	4.66718
control	4.38056	3.15708	4.66674	3.69653	4.61011	4.39278
control	8.00756	7.95879	7.97935	7.83737	7.86182	7.77695
control	7.45205	7.59858	7.90998	8.06884	8.29925	8.19585
control	4.52314	4.34195	4.29454	4.73943	4.10697	3.94591
control	13.0766	13.0143	13.0511	12.9469	13.1786	12.8249
control	8.85693	8.9034	9.1455	8.78467	9.19087	8.67664
control	7.35022	7.29712	7.54087	6.77543	7.26672	6.79578
control	3.22685	3.28298	3.54096	4.22249	3.34401	3.19648
control	4.42798	4.14729	4.1585	3.94894	3.85591	3.8131
control	10.4609	10.4372	10.322	10.5191	10.5637	10.5507
control	6.1386	5.38493	6.81091	5.52886	6.57703	5.45241
control	12.0856	12.1778	12.2263	12.2821	12.3704	12.1537
control	8.45098	8.68799	8.86247	7.95698	8.66809	7.76271
control	6.19379	6.46046	6.27853	6.25669	6.61625	6.25369
control	8.79272	8.24566	8.65526	8.88686	8.91052	8.58928
control	10.2333	10.2987	10.2535	9.43982	10.1333	9.95128
control	13.9261	13.993	13.9911	13.5928	13.6487	13.6998
control	5.91471	5.3062	6.05306	4.97945	5.07418	5.36493
control	5.03079	5.20417	5.10073	5.49001	5.90962	4.94264
control	8.91776	9.14193	8.81475	8.39009	8.90818	8.47935
control	7.78116	7.07519	7.68035	7.42221	8.0666	7.43913
control	7.54046	7.31431	7.59876	6.77088	7.05695	7.04031
control	6.95077	6.47313	6.27662	6.56236	6.95021	5.75181
control	13.4106	13.4	13.4114	13.1867	13.0979	13.1698
control	6.76679	6.72046	7.14403	7.41086	7.49388	6.9538
control	5.44014	5.67118	5.96023	5.7325	5.72677	6.53595
control	6.17354	5.69295	6.66515	5.4557	7.2291	6.40034
control	3.28831	3.60212	4.4236	3.68329	4.5374	3.52123
control	3.70549	3.38108	3.6496	4.00794	3.41384	4.04135
control	5.60544	4.86741	5.41868	4.67602	5.41552	5.29335
control	9.81129	9.91629	9.95821	9.96698	10.0194	9.95131
control	7.5769	7.30825	7.44789	7.13608	7.21627	7.16339
control	7.08707	7.39024	7.32277	7.23411	7.25266	7.52781
control	11.2829	11.6185	11.2047	11.3821	11.4205	11.3177
control	5.80793	4.64795	6.07276	6.16798	6.43819	5.7202
control	8.82159	9.28917	8.94452	9.16585	9.02226	9.16956
control	3.88865	4.0559	4.2198	3.93396	4.16356	4.51369
control	13.967	13.9457	13.9141	14.0101	14.083	14.0374
control	5.65858	5.74008	5.56402	5.56728	5.17253	5.21444
control	7.30333	7.20132	7.52569	6.62455	6.8783	6.1115
control	13.0639	13.0996	13.1724	13.2523	13.3793	13.0579
control	10.4168	10.5917	10.5809	10.4971	10.8021	10.7131
control	6.60123	4.62535	5.13373	5.96419	4.29979	6.38681
control	5.86512	5.65011	6.36864	5.44914	6.83348	6.5963
control	4.48712	4.24775	4.49573	3.99352	4.54658	3.94082
control	12.1274	12.0403	12.1262	11.7243	11.564	11.6513
control	10.4948	10.4502	10.5832	9.92172	9.92284	9.73476
control	13.5067	13.3669	13.3563	13.5074	13.6348	13.4316
control	11.2462	11.0813	11.3463	10.7604	10.8872	10.9572
control	6.07247	5.97413	6.05478	6.22402	6.54823	5.17824
control	8.92029	9.13323	9.23194	9.48086	9.62719	8.72279
control	3.82689	4.4101	4.49612	4.22515	5.36623	4.48947
control	9.91406	10.2124	10.1116	10.0846	10.3595	9.91603
control	8.20367	8.81086	8.14167	8.49768	8.29988	8.53409
control	6.22973	5.51494	6.0896	6.02194	6.25611	4.95968
control	13.8865	13.8351	13.8953	13.9245	13.9081	13.9655
control	8.63066	8.83356	8.78766	8.09526	8.47816	8.3017
control	4.08481	3.75612	4.31429	3.79191	4.1369	3.36603
control	7.1709	6.84056	7.53732	6.89195	6.85113	6.52997
control	10.503	10.4883	10.8205	10.2366	10.6246	10.3068
control	8.96877	9.24841	9.13327	9.32323	9.54176	8.8936
control	12.3644	12.1864	12.1667	12.7031	12.4357	12.6701
control	12.6092	12.6737	12.701	12.3958	12.549	12.2811
control	6.57509	6.7757	7.2886	6.84776	7.46096	6.52818
control	7.80814	8.09101	7.61507	7.85352	7.58897	7.38222
control	13.0157	12.9566	12.8826	13.2378	13.0701	12.9448
control	10.443	10.8024	10.8214	10.7083	11.0332	10.4647
control	9.84981	10.1863	10.3101	9.88461	10.0356	9.45379
control	6.4174	6.22756	6.6245	6.77221	6.43401	6.43401
control	6.40319	6.57641	6.5976	6.70141	6.54751	6.75966
control	6.40675	7.01078	6.75245	6.63049	6.27568	6.62902
control	10.1452	9.89409	9.92227	10.2694	10.4018	10.7012
control	10.7519	10.7185	10.684	10.8217	10.831	11.032
control	4.78679	4.59458	4.66279	5.04433	4.24513	4.52015
control	13.6114	13.7573	13.6498	13.8034	13.9192	13.7483
control	5.22903	5.22325	5.08974	5.17425	5.35202	4.64919
control	11.0018	10.8066	11.0023	10.5888	10.562	10.4833
control	7.84478	7.64257	8.23574	7.53302	7.29078	7.28432
control	12.1393	11.7562	11.9894	11.9253	11.9255	11.9077
control	7.96885	7.93389	8.11792	7.92335	8.3244	7.44453
control	12.8722	12.8072	12.6787	13.1356	13.1616	12.886
control	6.39396	6.01177	6.01181	5.60592	6.0232	5.44155
control	9.60566	9.42233	9.55272	8.78988	8.59165	9.01154
control	5.4094	5.70283	6.08821	5.54711	5.85536	4.86794
control	8.23024	8.30281	8.29255	8.21078	8.16918	7.88318
control	5.83765	6.50576	6.82592	5.77377	6.63417	6.01745
control	6.12101	5.52961	5.88386	5.58629	5.51063	5.70162
control	13.3533	13.3636	13.3718	13.2874	13.2869	13.3579
control	4.17112	4.09247	4.38866	3.66139	4.08234	3.45668
control	9.31955	9.29018	9.54102	9.21805	9.20059	9.35289
control	13.7269	13.6516	13.6602	13.7098	13.7012	13.7192
control	10.8339	11.2848	11.0185	11.0328	11.0688	10.762
control	9.88032	10.1561	9.96563	9.79973	9.58638	9.83886
control	9.59663	9.9076	9.77845	10.0906	10.4404	9.94976
control	4.00235	4.18356	5.31662	5.02484	4.32431	4.37345
control	6.19908	5.44342	6.08268	5.44139	5.86224	4.79491
control	7.70317	7.94555	7.87176	7.72736	7.63214	7.58768
control	4.62689	4.80519	4.62681	5.03166	4.4084	4.82723
control	7.21949	7.25038	7.2346	7.00042	7.08343	6.85698
control	7.60385	6.89506	8.01	7.92893	8.0959	7.74182
control	6.60222	6.33583	6.79474	5.72119	6.72276	6.48674
control	8.10726	7.70543	8.11459	7.4795	8.06464	7.51817
control	14.0689	13.9965	14.0812	13.8836	13.7522	13.9599
control	5.16471	5.13681	5.57449	5.30382	5.64005	5.65547
control	13.0733	12.9558	13.0475	13.4659	13.5215	13.4136
control	5.9945	6.2946	6.049	6.09126	6.18444	6.0753
control	10.5425	10.6784	10.8417	10.9807	11.3608	10.9571
control	7.42236	6.83362	7.42617	6.04154	7.11035	6.15982
control	11.9975	11.9526	11.887	11.8653	11.8877	11.9235
control	4.4426	4.3832	5.21831	4.84172	5.04211	4.74967
control	8.34983	8.31175	8.16331	7.78872	8.18458	7.88545
control	13.164	12.9676	13.0417	12.9561	12.9146	12.7866
control	8.06879	8.50184	8.1647	7.92452	7.97844	8.03615
control	5.4083	5.34569	6.05055	5.74035	6.43785	5.18253
control	13.2212	13.0709	13.184	13.1239	12.9426	13.0125
control	6.74617	6.93988	6.85546	7.115	6.04308	6.74571
control	7.26669	7.62618	7.7029	7.24741	7.31666	7.1487
control	3.55089	3.48226	4.59499	3.62341	3.31006	5.03452
control	14.1921	14.1565	14.1618	14.2347	14.2846	14.174
control	11.8393	11.7811	11.7443	11.9374	11.6969	11.7961
control	8.77277	8.73781	9.02687	8.06418	8.46362	8.10576
control	8.92163	9.22745	8.9998	9.01429	9.21253	9.29666
control	12.8021	13.0517	13.0218	13.0419	13.0592	13.1241
control	12.1415	12.0345	12.135	12.2743	12.1659	12.0521
control	8.1919	8.04713	8.46386	7.25904	7.83668	7.44164
control	6.56294	6.42541	7.24081	5.76676	6.36446	6.51347
control	13.3996	13.5189	13.5726	13.5736	13.6973	13.4787
control	4.24524	3.22913	4.04443	3.87985	3.92746	4.09891
control	9.34742	9.26327	9.62948	8.54552	8.98794	7.59819
control	12.7758	12.5898	12.8394	12.8818	12.935	13.0324
control	9.34646	9.36678	9.43415	9.443	9.5953	9.22063
control	7.21426	7.42655	7.49092	7.23376	6.99363	7.16095
control	7.8637	8.01079	8.03608	5.70135	7.97219	6.77892
control	5.38272	5.61623	5.62506	6.24014	5.10045	4.49046
control	10.005	10.2206	10.2225	10.1648	10.4657	10.241
control	9.57264	9.70506	9.37624	9.52364	9.32189	9.73671
control	4.91988	4.56357	5.82336	4.44171	4.96016	4.82711
control	11.7458	11.7185	11.6325	11.7726	11.6957	11.6067
control	11.7837	12.1036	11.9271	12.0752	12.1341	12.0555
control	12.4384	12.4592	12.4485	12.6838	12.7062	12.6701
control	4.62494	4.21841	4.78401	4.20471	4.88319	3.7009
control	10.4414	10.3874	10.4452	9.94601	9.76429	10.0027
control	5.028	5.14766	4.74877	5.10897	4.44666	4.58363
control	8.96648	8.26001	8.96082	7.72053	8.13719	7.80028
control	7.09051	7.19937	7.37667	6.81062	6.79864	6.58144
control	6.99243	7.37377	7.33557	7.36266	7.75987	7.04411
control	3.27154	3.39229	3.56615	3.92947	4.12926	3.4592
control	6.43707	5.77411	6.20051	5.79143	6.03692	5.92684
control	11.8981	12.1027	12.1439	12.1807	12.4316	12.0542
control	10.3728	10.0766	10.2835	10.1445	10.0019	9.92948
control	6.0198	5.63699	5.43971	6.14468	6.32709	5.62392
control	10.7149	11.1004	10.6363	10.4688	10.7312	10.7394
control	6.36786	6.16544	6.70627	6.10185	6.70075	5.75023
control	3.57067	2.94941	4.1404	2.99509	3.65554	2.75601
control	6.92255	6.96	6.45211	6.13755	6.73199	6.66901
control	7.32727	7.61375	7.2509	6.97145	7.17614	6.88616
control	8.22519	8.22568	8.98972	8.06657	8.79118	7.6661
control	6.81975	7.45758	7.24418	7.35296	7.36606	7.15028
control	9.35871	9.55501	9.38364	8.87572	8.98685	8.5581
control	7.16425	6.57276	7.31674	6.6558	7.99878	7.08122
control	4.95155	5.08677	5.03161	5.62404	5.25345	5.71112
control	11.2272	11.1267	11.069	11.1013	10.9102	11.2732
control	6.87843	7.10952	6.9366	6.88438	7.16567	5.96661
control	10.293	10.356	10.2319	10.2547	9.97956	9.85658
control	9.95854	10.0917	9.88632	9.9792	9.61815	9.77326
control	3.86446	4.28352	4.31211	3.96832	4.51311	4.14587
control	7.29865	6.84133	7.26543	7.84067	8.17872	7.41174
control	9.92315	9.55267	10.1382	9.98277	10.2633	9.88126
control	4.50822	4.32188	4.38283	4.5941	4.72876	4.14897
control	8.15516	7.993	8.17026	7.73409	8.16057	7.11983
control	5.63086	5.46837	5.63635	4.78141	5.13781	5.17501
control	5.34231	6.3327	6.06286	5.53912	4.92043	5.70777
control	6.71746	6.18906	6.84801	6.47768	6.65366	6.71717
control	12.4785	12.3752	12.5836	12.5536	12.5398	12.4552
control	5.2595	5.255	4.9952	5.10822	4.68863	5.26518
control	6.97067	7.74579	7.30606	6.64602	6.81634	6.79349
control	7.96746	7.74536	8.06896	8.16335	7.96964	8.10596
control	3.88396	3.57806	4.32214	4.0974	4.8228	3.39791
control	8.4373	8.63896	8.46452	8.57167	9.36929	9.43025
control	6.92988	6.67483	6.63569	6.52764	7.07432	6.66773
control	6.7016	7.34325	6.62357	6.82765	7.00371	6.80704
control	6.78382	6.4095	6.80736	6.80824	7.01006	6.63856
control	7.15289	6.9654	7.66137	6.81675	7.31477	7.155
control	9.92425	9.90045	9.93591	10.2913	10.4316	10.1431
control	5.59591	5.2356	5.85251	5.64452	5.53016	5.14792
control	7.35069	7.26228	7.57276	7.72236	7.91449	7.42713
control	7.74965	7.61453	8.31736	7.28122	7.10463	6.68256
control	13.7102	13.4987	13.6025	13.8655	13.8316	13.8786
control	13.9343	13.8297	13.8845	13.4446	13.3555	13.4727
control	5.58439	6.86282	5.44931	5.61553	6.13072	5.58662
control	9.40695	9.1937	9.35135	9.31084	9.0781	8.92576
control	10.8155	11.1066	10.8324	10.6599	10.3266	10.7917
control	4.08244	3.84318	5.50397	4.66075	5.2743	4.1161
control	6.15505	6.17724	6.29826	6.34725	5.8762	5.61046
control	11.1908	11.1694	11.1445	11.3536	11.4963	11.4801
control	6.1219	6.45791	6.72386	6.80178	7.2113	6.84841
control	5.97258	5.81934	5.96127	5.77801	5.86971	6.37988
control	12.3745	12.4208	12.3041	12.8863	12.7565	12.9164
control	6.46611	6.50997	6.22565	6.40101	6.48139	5.82769
control	2.99509	3.50873	3.69783	3.56365	3.35531	3.17847
control	2.92022	2.87614	2.89635	2.92066	2.93541	2.93493
control	7.97783	6.96266	8.25121	7.56425	7.21699	7.77981
control	6.71715	6.52951	6.60822	5.9177	6.79637	5.64499
control	7.92746	7.58624	7.91032	7.71999	7.84135	7.79134
control	7.85723	7.4871	8.10561	7.32625	7.42858	7.23991
control	7.66435	7.36559	7.51214	7.41821	7.83866	7.05083
control	10.2263	10.363	10.3713	9.53121	9.61711	9.48295
control	12.3817	12.3589	12.4647	12.3597	12.6317	12.5444
control	5.28266	5.14001	5.67858	4.88352	5.5144	4.72912
control	11.4838	11.7753	11.759	11.9855	12.2427	11.6113
control	6.23268	6.18472	6.33585	5.114	5.44116	6.56799
control	11.025	10.7635	10.8759	10.992	10.7338	11.0437
control	7.80862	7.88414	8.54481	7.62056	8.08292	7.32327
control	12.9455	12.8414	12.9261	12.4692	12.5225	12.422
control	10.9821	10.8908	11.0074	10.9701	11.06	11.1255
control	12.1206	12.2157	12.2163	12.3852	12.5634	11.9741
control	13.5197	13.4192	13.4385	13.5855	13.6665	13.7201
control	7.47239	7.48428	7.47804	7.37419	7.54097	7.33853
control	8.41032	8.35909	8.40585	7.53366	8.23004	7.90551
control	7.64809	7.44268	8.06022	7.69094	7.17091	7.2874
control	9.75106	9.78718	9.73194	9.98083	9.79726	9.80479
control	7.51484	7.17116	7.35028	6.86323	7.22607	7.32511
control	8.88641	9.0818	8.99359	8.71225	9.14763	8.8541
control	5.52646	4.51573	5.60591	5.2546	5.10109	5.12094
control	4.54999	3.52459	4.05258	3.90875	4.73424	3.87592
control	12.0844	12.1655	12.2203	12.3067	12.4794	12.1041
control	8.39611	8.24438	8.18849	7.98032	8.1327	8.17108
control	7.37935	6.79836	7.23971	7.31549	7.46441	6.95494
control	11.0215	11.1092	11.107	10.8624	10.6593	10.7202
control	5.98379	5.23917	5.24986	5.92309	5.60293	5.93076
control	5.17274	4.44901	5.53103	4.46835	4.30957	5.17673
control	6.87181	6.97794	6.80912	6.83282	6.92428	6.8263
control	6.00938	6.02956	6.45073	5.20914	5.85076	5.39179
control	7.2583	7.36739	7.64229	7.2189	8.25913	7.16737
control	10.5748	11.0912	10.6899	10.6075	11.0201	10.6944
control	6.80686	6.81334	6.96357	6.38851	6.87927	6.62874
control	7.79475	8.09026	8.37595	7.6494	8.07809	7.07172
control	9.81342	9.97286	9.90207	9.65168	10.1266	9.69948
control	13.7436	13.8087	13.8095	13.8141	13.9427	13.717
control	7.67244	8.24298	8.03626	7.42142	8.07713	7.85161
control	7.79829	7.45612	7.99867	7.65294	7.26144	7.59815
control	13.5589	13.6168	13.6179	13.3434	13.3504	13.3228
control	6.15122	6.09865	6.09244	4.95885	5.63029	5.12631
control	7.3989	7.16249	7.04457	7.33574	6.92494	6.60704
control	7.20626	6.98459	7.37568	7.15134	7.49645	6.1553
control	3.39128	3.52077	4.12762	3.69527	3.17215	3.12683
control	7.00922	6.65883	6.67535	6.38059	7.12062	6.76008
control	4.00025	4.09412	3.38834	3.54307	3.23823	4.18846
control	8.82655	8.91807	8.82941	8.63704	8.99301	8.6827
control	8.90223	9.01465	8.99125	8.46983	8.82518	7.54735
control	2.73927	2.82365	3.09904	2.95639	3.09505	2.84844
control	10.7961	10.9839	10.9624	11.0552	11.4649	10.7149
control	4.32084	4.06034	3.89611	4.88536	4.21967	4.10759
control	8.31911	7.80141	8.40959	8.1837	7.56747	8.10629
control	12.6393	12.4751	12.6653	12.5833	12.5285	12.4127
control	5.87069	5.79165	6.05973	5.72108	5.95995	5.57677
control	9.40845	9.31155	9.57623	9.08819	8.75068	8.88979
control	4.53193	4.07648	4.65902	4.15061	4.77352	4.19068
control	11.7367	11.7925	11.87	11.987	12.1691	11.6205
control	7.94498	7.96349	8.06176	7.67478	7.72899	7.25512
control	13.202	13.1174	13.1284	12.7444	12.4678	12.3631
control	4.21922	4.09788	4.02922	4.27985	4.42015	4.36383
control	6.8309	6.6651	7.22901	6.40579	6.73058	5.99491
control	11.7554	11.7035	11.6986	11.679	12.1124	11.9387
control	13.88	13.7603	13.8161	13.8873	13.923	14.0133
control	13.5977	13.5382	13.488	13.5775	13.6175	13.6612
control	3.8777	3.35177	3.45834	4.50586	3.77599	3.98298
control	9.81714	9.74079	9.66165	9.63044	9.68521	9.60473
control	11.0274	11.0177	11.3153	11.1557	11.1733	11.2299
control	7.16215	6.94699	7.02649	6.96055	6.71404	6.30675
control	12.8623	12.7995	12.9518	12.8683	12.8532	12.6827
control	6.29618	7.48738	7.70678	7.03557	8.07079	7.17581
control	5.10854	5.91762	6.29028	6.35045	5.00695	3.96026
control	7.69284	7.70683	7.56427	6.73059	7.2264	7.87269
control	7.24865	7.91253	8.09246	7.94698	8.16288	7.87916
control	7.22126	6.98401	7.43409	6.83167	7.06414	6.76385
control	5.1882	5.32662	4.60857	4.63402	5.19734	5.10776
control	4.83968	5.90319	6.12193	5.35717	5.44024	5.31334
control	6.71836	6.67017	6.80807	6.79905	7.01586	6.80342
control	11.1852	11.4355	11.2185	11.6246	11.5842	11.618
control	8.23018	8.4552	8.73839	8.78198	8.93629	8.95387
control	9.10985	8.6082	9.09335	8.14685	8.10802	8.29445
control	5.37836	5.06856	5.69762	5.67905	5.49853	5.24892
control	12.8002	12.78	12.7955	13.0566	12.9567	12.9382
control	6.92486	7.09618	7.39565	7.04941	7.36442	6.76508
control	12.9033	12.8932	12.9558	12.6492	12.7348	12.3299
control	7.09853	7.07204	7.38791	7.05921	7.23117	6.65059
control	5.20872	5.69617	5.25569	5.129	5.35681	4.95797
control	6.03735	6.15611	5.90081	6.55454	5.8444	5.77111
control	9.16714	9.37485	9.54735	9.32604	9.58733	9.27445
control	12.4244	12.5366	12.5107	12.3642	12.3509	12.3308
control	7.73418	7.79898	7.69121	7.31793	7.17517	6.55426
control	8.91308	8.95129	8.95107	8.89785	9.0816	8.84009
control	7.11302	7.14054	6.62591	6.5146	6.2275	5.88557
control	10.6476	11.0062	11.0516	10.3419	10.7764	10.4822
control	13.0382	13.0387	12.9768	12.6851	12.7693	12.7801
control	11.7961	11.7506	11.793	11.5154	11.608	11.3247
