id	GSM1052615	GSM1052616	GSM1052617	GSM1052618	GSM1052619	GSM1052620
CD36	4.53922833333333	4.36266833333333	4.493755	10.2531666666667	10.2351306666667	10.345125
DUSP6	11.2100666666667	11.2330833333333	11.13175	6.99208333333333	7.055	6.95747
DCT	5.82660333333333	5.832775	6.13197833333333	11.56335	11.7217833333333	11.5475666666667
SPRY2	11.5963208333333	11.635025	11.53805	7.86732833333333	7.78677166666667	7.74977833333333
MOXD1	8.53693166666667	8.54750333333333	8.61950416666667	11.8384	11.8103666666667	11.85185
ETV4	11.5695	11.54845	11.5457666666667	7.86427305555556	7.666785	7.63785666666667
DTL	12.0702111111111	12.0477	12.1326583333333	8.95262166666667	8.83540833333333	8.893485
ETV5	10.9011916666667	10.8957833333333	10.8732416666667	6.90608666666667	6.64903166666667	6.93246333333333
TXNIP	9.88404083333333	9.780355	9.85063875	12.8843166666667	12.7817833333333	12.7563166666667
NUPR1	8.06369666666667	8.23030875	8.07066916666667	11.1516833333333	11.1216291666667	11.1314333333333
LDLR	12.0721666666667	12.1614833333333	12.2181416666667	9.00113666666667	9.11572166666667	9.19561
ST6GALNAC2	7.58388666666667	7.33140666666667	7.72491333333333	11.4632166666667	11.4990291666667	11.3780333333333
CCND1	11.85185	11.8906496296296	11.7582333333333	9.35560583333333	9.34466	9.37101666666667
UBASH3B	10.7693333333333	10.7629166666667	10.8121166666667	8.529935	8.51189833333333	8.51164166666667
CEMIP	9.60941083333333	9.48206666666667	9.631365	6.32291944444444	6.06344333333333	6.32478833333333
SLCO4A1	10.9991883333333	10.9271833333333	10.99675	8.49073833333333	8.33597083333333	8.33313666666667
MCM10	10.50912	10.4127833333333	10.5519833333333	7.787255	7.60058833333333	7.61503833333333
FST	11.8821833333333	11.8353055555556	11.81195	8.42406	8.28669833333333	8.04058666666667
CD24	5.19496	5.4075625	5.31316666666667	8.68587875	8.45581833333333	8.70223666666667
RNF150	8.281135	8.25008166666667	8.39258	10.7182833333333	10.7087833333333	10.7604375
IER3	11.8353055555556	11.9589888888889	11.8699711111111	9.34117555555556	9.26106583333333	9.41819
CDC25A	10.0148633333333	9.85488222222222	9.895515	7.44433533333333	7.34756666666667	7.32820666666667
SPRY4	10.3485083333333	10.3686133333333	10.5453166666667	6.72029666666667	6.870115	6.48879666666667
AREG	8.62611125	8.70101333333333	8.84341833333333	5.9423975	6.05541333333333	5.9230975
TLR4	11.2832833333333	11.153475	11.3655333333333	8.74757333333333	8.72739666666667	8.74316833333333
SESN3	6.898395	7.001725	7.11117833333333	9.77496333333333	9.91991333333333	9.73453833333333
CCNE2	11.0861	11.0060166666667	11.0858	8.48731	8.53317666666667	8.311785
SEMA3C	10.38615	10.3053916666667	10.41575	12.7116763333333	12.8530416666667	12.7116763333333
PCDH10	9.36272583333333	9.403925	9.37268	11.5164166666667	11.4431666666667	11.42245
FAM111B	10.40719	10.2803916666667	10.351425	6.910385	6.580365	6.47647
RRM2	11.4657333333333	11.43789	11.569075	9.15532	9.03256833333333	8.99089
TGFA	11.0175166666667	11.2247833333333	11.2226166666667	8.60395666666667	8.620855	8.66115166666667
SERPINF1	7.76059833333333	7.48301166666667	7.79080166666667	10.8229333333333	10.8482	10.7076
NOV	8.96486666666667	8.85096833333333	8.84271111111111	11.4350916666667	11.6920166666667	11.53915
SLC20A1	12.0387666666667	12.0247	12.0906833333333	9.62311333333333	9.74608833333333	9.51757833333333
JUN	8.58938583333333	8.50701416666667	8.55907833333333	10.7128666666667	10.76765	10.8836
NT5E	9.70198	9.61804	9.52848083333333	6.80886375	6.85405166666667	6.578595
FAM84B	10.5545166666667	10.338175	10.6262666666667	7.66758208333333	7.48628666666667	7.50268333333333
SCRG1	6.33203833333333	6.06324	6.16803	8.73393055555556	8.743525	8.81047333333333
AZGP1	8.243685	8.21963166666667	8.17213	10.2177166666667	10.2553441666667	10.34035
LSAMP	7.82250833333333	7.90550833333333	7.856945	10.4194333333333	10.671325	10.41885
HIST1H2BB	10.6704211111111	10.5667333333333	10.5259606666667	8.49665125	8.43442666666667	8.40358166666667
MR1	7.55491833333333	7.37174833333333	7.49630833333333	9.89582333333333	10.1037075	10.0135016666667
IGFBP5	8.12353666666667	8.16838416666667	8.26236333333333	10.9254508333333	10.7649166666667	11.0591166666667
SFRP1	10.8904333333333	10.9592875	10.8396833333333	8.858475	8.75305	8.74853
